station,chip,channel,amplitude,width,transition_point_data,transition_point_erf,std_transition_point_(erf)
11,6,022,1.822909,1000.752954,211.409625,211.4096254818869,0.0009660818639044685
11,7,022,2.303437,1000.68645,172.563814,172.56381442462802,0.0031650169377908637
11,0,023,1.710539,1001.248751,156.362642,156.36264191461768,0.007804262256579377
11,1,023,2.012315,1001.083272,260.917615,260.9176154474007,0.009183577891508688
11,2,023,1.649359,1001.004985,179.913918,179.91391803471635,0.004843527723262714
11,3,023,1.814021,1000.701207,169.631981,169.63198106089487,0.002841566939799315
11,4,023,1.886607,999.885623,221.219422,221.21942207138198,0.014023325234996479
11,5,023,1.58207,1000.807715,178.358362,178.35836171981433,0.0008214774869833084
11,6,023,2.056661,999.612277,190.019619,190.01961861556117,0.005230392899923046
11,7,023,2.190543,1000.799517,196.308729,196.3087286001898,0.0025825335808619073
11,0,024,1.992246,1000.421,172.525574,172.5255741632352,0.0023663421497154466
11,1,024,1.843178,1001.011418,182.353474,182.35347354666845,0.021507211928331018
11,2,024,1.801136,1000.23452,167.489078,167.48907777119686,0.0029977982631633512
11,3,024,1.779615,1001.000449,159.518445,159.51844460119278,0.0034919611251948575
11,4,024,1.842911,1000.676655,220.288876,220.2888761813718,0.002914568933119142
11,5,024,1.706528,1001.102981,235.528479,235.5284793175822,0.008411748646158526
11,6,024,1.948619,1001.556202,208.639508,208.63950844275828,0.022690780065024667
11,7,024,2.151954,1000.594424,140.119975,140.11997500294996,0.0026019233027938108
11,0,025,1.781558,999.768493,189.897513,189.89751328936853,0.004337428321550291
11,1,025,1.954082,1000.668684,185.674969,185.67496881682754,0.006454709763421502
11,2,025,1.839573,998.244926,223.840139,223.84013930239433,0.01028677564973808
11,3,025,1.851589,998.851483,255.244426,255.24442613160056,0.030184310325242693
11,4,025,1.740988,1001.002313,201.981022,201.98102223872507,0.0011563875737210236
11,5,025,1.688778,1000.360238,191.810501,191.81050109653577,0.002394394862560709
11,6,025,1.844287,1001.0015,137.573539,137.57353881164693,0.00944923999560856
11,7,025,2.861315,1001.005013,182.491068,182.49106814881796,0.0033532448604631803
11,0,027,1.791479,1000.680258,166.406992,166.40699238146968,0.0031545134267914844
11,1,027,2.081057,1000.611541,176.755763,176.75576319689932,0.005109979484946017
11,2,027,1.692325,1000.330349,115.670029,115.67002941939742,0.0026658732688664716
11,3,027,1.739899,1000.729411,154.005101,154.00510078476407,0.0038859109440295566
11,4,027,1.803405,1000.371014,202.670121,202.67012093971684,0.002309900576747538
11,5,027,1.506278,1001.021073,167.03874,167.03874009967782,6.15967251647333e-05
11,6,027,1.742437,1000.669159,141.068843,141.06884325993386,0.002811353294546034
11,7,027,2.247609,1000.677401,163.276782,163.276781915423,0.0035929546189797327
11,0,028,2.157205,1000.435988,207.30053,207.30052998375072,0.0019315558737049718
11,1,028,1.940669,1000.733298,252.545528,252.5455277163036,0.004041436080018677
11,2,028,1.790083,1000.681468,165.971601,165.97160054288153,0.0010347548996509416
11,3,028,1.524074,1000.061139,149.276079,149.27607857475465,0.003979593907784276
11,4,028,1.705699,1001.001508,193.265438,193.26543840917444,0.004455746958923016
11,5,028,1.73392,1000.044448,173.708052,173.7080519105562,0.003205954745672065
11,6,028,2.09452,1002.380951,156.055021,156.0550211331274,0.00809961377103698
11,7,028,2.110174,1001.108885,235.772161,235.77216063211097,0.007853772361050124
11,0,029,1.881096,1000.21196,211.469193,211.46919279541748,0.0030606692114519708
11,1,029,1.820732,1001.052223,214.77006,214.7700598528602,0.006108777287137768
11,2,029,1.729596,999.848186,209.164191,209.16419063720267,0.019985281357104437
11,3,029,1.899557,1000.477802,187.321226,187.32122594091442,0.007109907150289564
